INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
5;02.11.2020 0:00:00;1;0;83232
6;02.11.2020 0:00:00;1;0;87157
7;02.11.2020 0:00:00;1;0;91562
8;02.11.2020 0:00:00;1;0;94925
9;02.11.2020 0:00:00;1;0;96108
10;02.11.2020 0:00:00;1;0;96751
11;02.11.2020 0:00:00;1;0;96382
12;02.11.2020 0:00:00;1;0;95634
13;02.11.2020 0:00:00;1;0;96545
14;02.11.2020 0:00:00;1;0;96049
15;02.11.2020 0:00:00;1;0;96549
16;02.11.2020 0:00:00;1;0;97091
17;02.11.2020 0:00:00;1;0;98427
18;02.11.2020 0:00:00;1;0;97065
19;02.11.2020 0:00:00;1;0;94994
20;02.11.2020 0:00:00;1;0;92586
21;02.11.2020 0:00:00;1;0;89256
22;02.11.2020 0:00:00;1;0;85107
23;02.11.2020 0:00:00;1;0;82381
0;03.11.2020 0:00:00;1;0;80169
1;03.11.2020 0:00:00;1;0;78760
2;03.11.2020 0:00:00;1;0;78907
3;03.11.2020 0:00:00;1;0;79098
4;03.11.2020 0:00:00;1;0;80209
5;03.11.2020 0:00:00;1;0;84104
6;03.11.2020 0:00:00;1;0;88451
7;03.11.2020 0:00:00;1;0;91776
8;03.11.2020 0:00:00;1;0;94956
9;03.11.2020 0:00:00;1;0;96054
10;03.11.2020 0:00:00;1;0;95872
11;03.11.2020 0:00:00;1;0;95126
12;03.11.2020 0:00:00;1;0;95215
13;03.11.2020 0:00:00;1;0;94875
14;03.11.2020 0:00:00;1;0;94616
15;03.11.2020 0:00:00;1;0;95203
16;03.11.2020 0:00:00;1;0;95904
17;03.11.2020 0:00:00;1;0;97138
18;03.11.2020 0:00:00;1;0;96419
19;03.11.2020 0:00:00;1;0;94015
20;03.11.2020 0:00:00;1;0;91934
21;03.11.2020 0:00:00;1;0;89411
22;03.11.2020 0:00:00;1;0;85158
23;03.11.2020 0:00:00;1;0;81995
0;04.11.2020 0:00:00;1;0;80160
1;04.11.2020 0:00:00;1;0;78816
2;04.11.2020 0:00:00;1;0;78257
3;04.11.2020 0:00:00;1;0;78345
4;04.11.2020 0:00:00;1;0;78715
5;04.11.2020 0:00:00;1;0;81009
6;04.11.2020 0:00:00;1;0;83162
7;04.11.2020 0:00:00;1;0;85565
8;04.11.2020 0:00:00;1;0;88845
9;04.11.2020 0:00:00;1;0;90416
10;04.11.2020 0:00:00;1;0;91248
11;04.11.2020 0:00:00;1;0;91082
12;04.11.2020 0:00:00;1;0;90485
13;04.11.2020 0:00:00;1;0;90686
14;04.11.2020 0:00:00;1;0;91033
15;04.11.2020 0:00:00;1;0;92437
16;04.11.2020 0:00:00;1;0;94253
17;04.11.2020 0:00:00;1;0;95293
18;04.11.2020 0:00:00;1;0;94139
19;04.11.2020 0:00:00;1;0;92337
20;04.11.2020 0:00:00;1;0;90894
21;04.11.2020 0:00:00;1;0;87453
22;04.11.2020 0:00:00;1;0;83852
23;04.11.2020 0:00:00;1;0;81681
0;05.11.2020 0:00:00;1;0;79108
1;05.11.2020 0:00:00;1;0;77758
2;05.11.2020 0:00:00;1;0;77979
3;05.11.2020 0:00:00;1;0;78169
4;05.11.2020 0:00:00;1;0;79706
5;05.11.2020 0:00:00;1;0;83516
6;05.11.2020 0:00:00;1;0;87839
7;05.11.2020 0:00:00;1;0;91213
8;05.11.2020 0:00:00;1;0;94640
9;05.11.2020 0:00:00;1;0;96073
10;05.11.2020 0:00:00;1;0;95500
11;05.11.2020 0:00:00;1;0;95284
12;05.11.2020 0:00:00;1;0;95142
13;05.11.2020 0:00:00;1;0;95154
14;05.11.2020 0:00:00;1;0;95264
15;05.11.2020 0:00:00;1;0;95706
16;05.11.2020 0:00:00;1;0;97061
17;05.11.2020 0:00:00;1;0;97671
18;05.11.2020 0:00:00;1;0;96926
19;05.11.2020 0:00:00;1;0;95182
20;05.11.2020 0:00:00;1;0;92661
21;05.11.2020 0:00:00;1;0;89474
22;05.11.2020 0:00:00;1;0;85673
23;05.11.2020 0:00:00;1;0;82749
0;06.11.2020 0:00:00;1;0;80215
1;06.11.2020 0:00:00;1;0;79355
2;06.11.2020 0:00:00;1;0;78678
3;06.11.2020 0:00:00;1;0;78482
4;06.11.2020 0:00:00;1;0;80727
5;06.11.2020 0:00:00;1;0;84099
6;06.11.2020 0:00:00;1;0;88399
7;06.11.2020 0:00:00;1;0;91502
8;06.11.2020 0:00:00;1;0;95220
9;06.11.2020 0:00:00;1;0;95942
10;06.11.2020 0:00:00;1;0;96214
11;06.11.2020 0:00:00;1;0;95645
12;06.11.2020 0:00:00;1;0;95634
13;06.11.2020 0:00:00;1;0;95515
14;06.11.2020 0:00:00;1;0;95731
15;06.11.2020 0:00:00;1;0;96378
16;06.11.2020 0:00:00;1;0;97176
17;06.11.2020 0:00:00;1;0;98048
18;06.11.2020 0:00:00;1;0;97167
19;06.11.2020 0:00:00;1;0;95219
20;06.11.2020 0:00:00;1;0;93098
21;06.11.2020 0:00:00;1;0;90114
22;06.11.2020 0:00:00;1;0;85927
23;06.11.2020 0:00:00;1;0;82904
0;07.11.2020 0:00:00;1;0;80886
1;07.11.2020 0:00:00;1;0;79157
2;07.11.2020 0:00:00;1;0;78415
3;07.11.2020 0:00:00;1;0;79073
4;07.11.2020 0:00:00;1;0;79363
5;07.11.2020 0:00:00;1;0;81055
6;07.11.2020 0:00:00;1;0;83513
7;07.11.2020 0:00:00;1;0;86067
8;07.11.2020 0:00:00;1;0;89371
9;07.11.2020 0:00:00;1;0;91355
10;07.11.2020 0:00:00;1;0;92398
11;07.11.2020 0:00:00;1;0;92367
12;07.11.2020 0:00:00;1;0;91600
13;07.11.2020 0:00:00;1;0;91528
14;07.11.2020 0:00:00;1;0;92206
15;07.11.2020 0:00:00;1;0;92742
16;07.11.2020 0:00:00;1;0;94733
17;07.11.2020 0:00:00;1;0;96069
18;07.11.2020 0:00:00;1;0;94692
19;07.11.2020 0:00:00;1;0;92480
20;07.11.2020 0:00:00;1;0;91329
21;07.11.2020 0:00:00;1;0;88798
22;07.11.2020 0:00:00;1;0;85139
23;07.11.2020 0:00:00;1;0;82186
0;08.11.2020 0:00:00;1;0;80207
1;08.11.2020 0:00:00;1;0;78469
2;08.11.2020 0:00:00;1;0;77564
3;08.11.2020 0:00:00;1;0;77882
4;08.11.2020 0:00:00;1;0;78279
5;08.11.2020 0:00:00;1;0;80096
6;08.11.2020 0:00:00;1;0;81992
7;08.11.2020 0:00:00;1;0;83748
8;08.11.2020 0:00:00;1;0;87170
9;08.11.2020 0:00:00;1;0;89347
10;08.11.2020 0:00:00;1;0;90158
11;08.11.2020 0:00:00;1;0;90683
12;08.11.2020 0:00:00;1;0;90418
